scenario,sweep_param,sweep_value,depth_rel,A,aPAR,Rd,Ps,Kn
Uniform,LAI,3,0.807142857142857,2.95126881216132,146.743697943058,0.539366209060985,0.190292839850372,0.279085241264901
Uniform,LAI,3,0.821428571428571,2.86939318651657,142.675514006043,0.53445733562324,0.18475873575867,0.27174609408559
Uniform,LAI,3,0.835714285714286,2.79100101939109,138.765482423267,0.529593138767052,0.179385574706767,0.264641215955832
Uniform,LAI,3,0.85,2.71604878190353,135.009396863628,0.524773211882439,0.17416867614265,0.257761441715688
Uniform,LAI,3,0.864285714285714,2.64449424223865,131.403243521575,0.519997152060051,0.169103495634306,0.251098127060201
Uniform,LAI,3,0.878571428571429,2.57629656920328,127.943196284031,0.515264560057497,0.16418562091108,0.244643104455543
Uniform,LAI,3,0.892857142857143,2.51141642754499,124.625612162524,0.510575040265961,0.15941076802015,0.238388648536826
Uniform,LAI,3,0.907142857142857,2.44981620996583,121.447026984308,0.50592820067714,0.154774777594786,0.232327558930583
Uniform,LAI,3,0.921428571428571,2.39145991301475,118.404151336647,0.501323652850473,0.150273611231126,0.226452981959397
Uniform,LAI,3,0.935714285714286,2.33631349124541,115.493866758834,0.496761011880666,0.145903347970338,0.220758623312018
Uniform,LAI,3,0.95,2.28434454422589,112.713222176908,0.492239896365526,0.14166018088307,0.215238435980474
Uniform,LAI,3,0.964285714285714,2.23552270815087,110.059430576416,0.487759928374069,0.137540413753247,0.209886896360356
Uniform,LAI,3,0.978571428571429,2.18981948343631,107.529865908912,0.483320733414934,0.133540457858296,0.204698819716646
Uniform,LAI,3,0.992857142857143,2.14850409773193,105.122060228298,0.478921940405075,0.129656828843024,0.199618532143332
Uniform,LAI,5,0.0072463768115942,13.156297119029,879.407537175525,0.900000000000001,0.983722698900594,1.63646631010914
Uniform,LAI,5,0.0217391304347826,12.8107672449692,829.733422177928,0.891690769048678,0.935837943041164,1.55124569466213
Uniform,LAI,5,0.036231884057971,12.4543259735323,782.956657912799,0.883458252896246,0.890284077631126,1.46529322230225
Uniform,LAI,5,0.0507246376811594,12.0879489302843,738.902714660852,0.875301743274946,0.846947641712194,1.3798997730625
Uniform,LAI,5,0.0652173913043478,11.7129047525231,697.407908510384,0.867220538456095,0.805720697275075,1.2962242285548
Uniform,LAI,5,0.0797101449275362,11.3306477130424,658.318708557329,0.85921394318969,0.766500560418392,1.21521476208108
Uniform,LAI,5,0.0942028985507246,10.9428495053835,621.491089433618,0.851281268644625,0.72918954559402,1.13761805738583
Uniform,LAI,5,0.108695652173913,10.5512678486593,586.789926141366,0.843421832349396,0.693694722301805,1.0639513708335
Uniform,LAI,5,0.123188405797101,10.1577161504687,554.088428375133,0.835634958133421,0.659927683627674,0.994533900429057
Uniform,LAI,5,0.13768115942029,9.76397762076879,523.267611705135,0.827919976068829,0.627804326048646,0.929504706462393
Uniform,LAI,5,0.152173913043478,9.37178127910205,494.215803171951,0.820276222412863,0.597244639956284,0.868867885365341
Uniform,LAI,5,0.166666666666667,8.98276259463811,466.828179008714,0.812703039550742,0.568172510376859,0.812527094019545
Uniform,LAI,5,0.181159420289855,8.59842042570011,441.006332360959,0.805199775939111,0.540515527391876,0.760310424739919
Uniform,LAI,5,0.195652173913043,8.22009457370781,416.65786901794,0.797765786049964,0.514204805786776,0.711994697795426
Uniform,LAI,5,0.210144927536232,7.84897213804418,393.696029303046,0.790400430315127,0.489174813478615,0.667333670708666
Uniform,LAI,5,0.22463768115942,7.48606906930856,372.039334395683,0.783103075071223,0.465363208295382,0.626066743204521
Uniform,LAI,5,0.239130434782609,7.13224436012503,351.611255473188,0.775873092505157,0.442710682700425,0.587935604610972
Uniform,LAI,5,0.253623188405797,6.78819554122768,332.339904169626,0.76870986060011,0.421160816075244,0.552686683786963
Uniform,LAI,5,0.268115942028986,6.45447345250085,314.157742949298,0.761612763082014,0.400659934192717,0.520078414530957
Uniform,LAI,5,0.282608695652174,6.13149626788162,297.001314086807,0.754581189366543,0.381156975530774,0.48988531018322
Uniform,LAI,5,0.297101449275362,5.81956144657829,280.81098603327,0.747614534506575,0.362603364093519,0.461899019205872
Uniform,LAI,5,0.311594202898551,5.51885509722781,265.53071602996,0.74071219914015,0.344952888423057,0.435926858750304
Uniform,LAI,5,0.326086956521739,5.22946719846632,251.107827906882,0.733873589438909,0.328161586500672,0.411792570746999
Uniform,LAI,5,0.340579710144928,4.95140440941678,237.492804074819,0.727098117056992,0.312187636250678,0.389335717513299
